gene_id,SRR6819016,SRR6819017,SRR6819018,SRR6819020,SRR6819021,SRR6819022
FUN_030043,439,593,1223,741,1168,969
FUN_030045,193,127,192,108,189,161
FUN_030047,225,187,290,156,291,227
FUN_030046,36,46,43,31,55,49
FUN_030049,1826,1859,2266,1433,2012,1693
FUN_030050,1075,1424,2677,1555,2492,2008
FUN_030052,627,492,770,523,648,499
FUN_030053,387,364,1519,1513,2204,1788
FUN_030054,63,41,34,7,25,19
FUN_030055,7,2,1921,2238,3470,3228
FUN_030066,135,107,149,102,155,115
FUN_030068,33,31,57,29,46,28
FUN_030126,0,0,0,0,0,0
FUN_030124,13,11,19,2,5,2
FUN_030129,8,16,9,7,10,8
FUN_030138,3,3,29,9,9,19
FUN_030142,1,4,7,1,4,4
FUN_030145,3,5,9,6,7,8
FUN_030147,0,15,20,18,18,15
FUN_030151,4,4,5,3,10,8
FUN_030152,5,4,6,3,10,9
FUN_030157,2,5,7,1,5,5
FUN_002651,0,0,0,0,0,0
FUN_003252,9,10,41,15,39,22
FUN_003301,20,31,85,21,63,38
FUN_004894,8,9,46,25,30,32
FUN_003854,23,22,24,8,25,17
FUN_004005,279,270,46,392,29,37
FUN_030490,158,167,117,198,127,115
FUN_004706,13,14,34,17,29,33
FUN_030063,12493,12601,14818,10792,13615,9499
FUN_005157,0,3,2,1,3,3
FUN_005047,559,585,336,612,272,265
FUN_005657,0,15,144,7,167,160
FUN_005766,8,9,111,7,104,157
FUN_005357,470,525,2117,628,1546,1212
FUN_006280,14,7,47,14,49,43
FUN_006344,3,5,10,2,15,9
FUN_030491,674,915,1695,1068,1669,1494
FUN_006604,1323,1145,1261,841,1130,900
FUN_010119,5,9,2,13,7,15
FUN_010153,1,12,6,7,4,3
FUN_007240,98,96,96,64,83,90
FUN_007434,983,1095,561,760,457,518
FUN_007687,353,275,420,280,382,348
FUN_030492,9,8,17,16,23,20
FUN_008108,410,352,491,273,458,354
FUN_008210,714,543,499,482,486,558
FUN_008357,338,417,199,343,167,207
FUN_008501,578,466,723,484,663,589
FUN_008592,8,4,7,4,9,9
FUN_008901,426,370,500,279,471,365
FUN_009519,0,5,0,0,4,4
FUN_008978,624,471,429,414,431,404
FUN_009185,127,150,26,41,12,26
FUN_009583,173,142,211,129,184,194
FUN_010195,12,29,14,26,5,37
FUN_010249,3,14,7,14,4,8
FUN_010319,8,26,10,16,8,23
FUN_010344,27,37,15,41,6,26
FUN_010393,15,26,11,19,4,14
FUN_010497,552,401,170,227,97,211
FUN_010604,107,79,64,74,50,68
FUN_010766,2169,1827,2298,1865,2345,2054
FUN_011192,5190,5248,5957,4772,5840,4713
FUN_011434,908,920,1300,988,1007,980
FUN_011618,675,507,1410,451,1356,932
FUN_012216,0,9,0,0,10,7
FUN_012036,198,117,219,145,177,163
FUN_012092,105,98,149,110,126,83
FUN_012299,214,232,58,232,16,12
FUN_011796,2218,2149,2924,2576,3747,2910
FUN_011970,476,396,660,341,580,441
FUN_022857,56,55,69,49,70,50
FUN_022878,2785,1959,10381,5913,11020,8257
FUN_022925,425,701,164,575,88,130
